,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,san juan del sur,11.2529,-85.8705,84.42,70,75,4.61,NI,1650812068
84,mayumba,-3.432,10.6554,81.01,80,100,6.15,GA,1650812069
85,hobart,-42.8794,147.3294,55.26,88,86,6.91,AU,1650811934
86,ilebo,-4.3167,20.5833,82.83,68,98,1.92,CD,1650812070
87,tzucacab,20.0667,-89.05,85.48,56,36,6.31,MX,1650812070
88,karratha,-20.7377,116.8463,80.85,62,0,3.53,AU,1650812071
89,lewistown,40.5992,-77.5714,72.36,80,0,0.0,US,1650812073
90,baherden,38.4362,57.4316,77.67,37,28,6.76,TM,1650812073
91,kodiak,57.79,-152.4072,39.63,91,99,7.56,US,1650812074
92,cidreira,-30.1811,-50.2056,69.51,63,0,15.46,BR,1650812074
93,kihei,20.785,-156.4656,74.84,87,84,10.76,US,1650812075
94,atuona,-9.8,-139.0333,78.53,76,27,19.73,PF,1650812076
95,albany,42.6001,-73.9662,57.63,43,93,4.0,US,1650812076
96,berlevag,70.8578,29.0864,37.2,92,100,11.59,NO,1650812077
97,porto novo,6.4965,2.6036,82.22,63,100,10.2,BJ,1650812077
98,iwanai,42.9744,140.5089,46.9,86,45,4.14,JP,1650812078
99,yellowknife,62.456,-114.3525,18.12,73,0,12.66,CA,1650812079
100,lebu,-37.6167,-73.65,57.69,87,100,23.91,CL,1650812079
101,castro,-24.7911,-50.0119,73.45,66,44,2.64,BR,1650812080
102,andenes,69.3143,16.1194,42.78,81,75,14.97,NO,1650812080
103,nelson bay,-32.7167,152.15,59.09,95,44,6.67,AU,1650812081
104,plettenberg bay,-34.0527,23.3716,61.23,59,22,8.84,ZA,1650812082
105,gorontalo,0.5412,123.0595,76.05,95,54,3.62,ID,1650812082
106,srednekolymsk,67.45,153.6833,6.55,99,90,6.96,RU,1650812083
107,smithers,54.7804,-127.1743,39.52,93,75,5.75,CA,1650812083
108,rocha,-34.4833,-54.3333,73.04,34,0,11.77,UY,1650812084
109,leningradskiy,69.3833,178.4167,14.0,97,99,3.09,RU,1650812085
110,victoria,22.2855,114.1577,82.45,87,3,8.01,HK,1650812080
111,amarante do maranhao,-5.5667,-46.7422,82.13,68,99,4.36,BR,1650812086
112,brive-la-gaillarde,45.25,1.5,53.53,96,99,7.18,FR,1650812086
113,sao miguel do tapuio,-5.5036,-41.3233,88.66,52,51,4.61,BR,1650812087
114,tuktoyaktuk,69.4541,-133.0374,10.4,85,0,4.61,CA,1650812088
115,jumla,29.2747,82.1838,51.26,31,7,5.14,NP,1650812088
116,narsaq,60.9167,-46.05,41.5,78,76,4.12,GL,1650812089
117,mahebourg,-20.4081,57.7,76.24,78,75,18.41,MU,1650812089
118,tomatlan,19.9333,-105.25,77.63,49,4,1.07,MX,1650812090
119,cherskiy,68.75,161.3,-4.09,100,87,4.76,RU,1650811820
120,kilindoni,-7.9139,39.6668,82.98,73,99,8.3,TZ,1650812091
121,talaja,21.35,72.05,89.53,36,1,11.72,IN,1650812092
122,suffolk,40.8668,-72.7996,58.86,50,0,9.22,US,1650812092
123,pevek,69.7008,170.3133,0.05,99,99,3.47,RU,1650812093
124,payson,40.0444,-111.7321,44.42,63,17,1.99,US,1650812093
125,arraial do cabo,-22.9661,-42.0278,82.36,69,40,9.22,BR,1650812094
126,la ronge,55.1001,-105.2842,30.45,74,20,9.22,CA,1650812096
127,bluff,-46.6,168.3333,52.81,83,91,19.08,NZ,1650812096
128,calbuco,-41.768,-73.1273,47.41,92,98,30.6,CL,1650812097
129,temiscaming,46.7212,-79.0971,47.75,49,100,13.8,CA,1650812097
130,upernavik,72.7868,-56.1549,7.52,81,58,10.56,GL,1650812098
131,de-kastri,51.4667,140.7833,29.84,94,100,10.25,RU,1650812099
132,adrar,20.5022,-10.0711,91.69,15,0,14.58,MR,1650812100
133,yar-sale,66.8333,70.8333,13.59,91,100,4.94,RU,1650812101
134,oga,46.4631,10.347,43.34,97,100,4.12,IT,1650812102
135,port elizabeth,-33.918,25.5701,64.69,76,0,16.11,ZA,1650812102
136,praia da vitoria,38.7333,-27.0667,64.65,68,40,21.3,PT,1650812103
137,avarua,-21.2078,-159.775,78.85,89,75,5.75,CK,1650812103
138,zyryanka,65.75,150.85,14.7,94,100,9.6,RU,1650812043
139,torbay,47.6666,-52.7314,37.27,96,100,21.85,CA,1650812105
140,port keats,-14.25,129.55,79.74,48,57,6.44,AU,1650812105
141,ilulissat,69.2167,-51.1,28.9,91,100,7.18,GL,1650812106
142,fortuna,40.5982,-124.1573,49.66,91,100,0.0,US,1650812107
143,norman wells,65.282,-126.8329,33.84,64,20,4.61,CA,1650812108
144,rameshki,57.3439,36.0453,46.9,94,100,8.77,RU,1650812109
145,sola,-13.8833,167.55,81.03,71,99,0.67,VU,1650812110
146,linxia,35.6003,103.2064,54.77,61,93,2.01,CN,1650812110
147,price,39.5994,-110.8107,41.11,41,4,10.49,US,1650812111
148,tessalit,20.1986,1.0114,95.79,5,0,14.07,ML,1650812112
149,hovd,48.0056,91.6419,29.88,42,71,12.75,MN,1650812112
150,beringovskiy,63.05,179.3167,14.25,95,80,1.52,RU,1650812113
151,imbituba,-28.24,-48.6703,69.85,61,0,11.18,BR,1650812034
152,saint george,37.1041,-113.5841,53.64,36,0,4.61,US,1650812114
153,boden,65.8252,21.6886,41.0,89,97,6.04,SE,1650812115
154,codrington,-38.2667,141.9667,48.92,92,0,7.85,AU,1650812116
155,pangai,-19.8,-174.35,78.67,67,100,6.08,TO,1650812117
156,vestmannaeyjar,63.4427,-20.2734,47.39,76,20,13.8,IS,1650812117
157,gonen,40.1049,27.654,68.9,59,2,4.76,TR,1650812118
158,ancud,-41.8697,-73.8203,46.22,88,100,22.5,CL,1650812119
159,faanui,-16.4833,-151.75,79.93,72,69,5.03,PF,1650812119
160,jiuquan,39.7432,98.5174,65.39,13,31,6.42,CN,1650812058
161,hambantota,6.1241,81.1185,82.24,77,26,5.39,LK,1650812120
162,masumbwe,-3.6333,32.1833,72.84,77,95,3.51,TZ,1650812121
163,luderitz,-26.6481,15.1594,68.59,38,0,30.74,NA,1650812122
164,samarai,-10.6167,150.6667,82.67,73,60,9.35,PG,1650812122
165,barranca,-10.75,-77.7667,69.89,76,95,7.9,PE,1650812123
166,severnyy,50.677,36.5532,57.24,77,75,4.47,RU,1650812123
167,edd,13.9297,41.6925,94.68,43,57,22.7,ER,1650812124
168,bintulu,3.1667,113.0333,81.01,94,40,5.01,MY,1650812125
169,pisco,-13.7,-76.2167,64.45,94,100,3.44,PE,1650812125
170,svetlyy,54.675,20.1347,46.45,77,31,13.76,RU,1650812126
171,atlantic beach,30.3344,-81.3987,81.0,64,71,4.0,US,1650812126
172,katubao,5.8892,124.8294,80.69,83,100,2.37,PH,1650812128
173,nhulunbuy,-12.2333,136.7667,77.61,83,100,4.61,AU,1650812128
174,katsuura,35.1333,140.3,62.62,93,100,9.82,JP,1650812129
175,paamiut,61.994,-49.6678,32.54,91,67,10.58,GL,1650812129
176,east london,-33.0153,27.9116,65.34,72,0,21.85,ZA,1650811888
177,kavaratti,10.5669,72.642,85.1,70,87,4.23,IN,1650812131
178,whitehorse,60.7161,-135.0538,33.1,77,75,1.01,CA,1650812132
179,jacareacanga,-6.2222,-57.7528,88.74,53,99,5.03,BR,1650812133
180,bud,39.447,-86.1758,75.22,60,100,16.31,US,1650812134
181,tigil,57.8,158.6667,25.74,93,100,3.98,RU,1650812134
182,jalu,29.0331,21.5482,91.62,11,0,3.78,LY,1650812135
183,madang,-5.2246,145.7966,76.05,89,52,3.06,PG,1650812132
