,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
369,rey bouba,8.6724,14.1786,100.74,26,95,8.52,CM,1650812261
370,kupang,-10.1667,123.5833,77.36,80,10,7.63,ID,1650812261
371,turbat,26.0023,63.044,89.15,35,0,14.27,PK,1650812262
372,gigmoto,13.7796,124.39,80.1,86,100,6.46,PH,1650812262
373,paraiso,9.8383,-83.8656,79.88,54,9,2.1,CR,1650812263
374,chalus,36.655,51.4204,60.26,82,75,4.61,IR,1650812264
375,ostrovnoy,68.0531,39.5131,35.51,99,100,14.29,RU,1650812264
376,pemangkat,1.1667,108.9667,80.78,80,98,5.91,ID,1650812265
377,tuy hoa,13.0833,109.3,77.72,93,35,4.03,VN,1650812104
378,mabaruma,8.2,-59.7833,86.34,62,84,5.26,GY,1650812266
379,faya,18.3851,42.4509,73.51,39,36,9.51,SA,1650812267
380,mount isa,-20.7333,139.5,67.77,100,100,11.5,AU,1650812113
381,laguna,38.421,-121.4238,58.32,75,20,1.79,US,1650812268
382,egvekinot,66.3167,-179.1667,9.57,93,86,6.64,RU,1650812268
383,chitipa,-9.7024,33.2697,70.27,82,97,5.5,MW,1650812269
384,san quintin,30.4833,-115.95,63.16,59,0,2.44,MX,1650812014
385,port lincoln,-34.7333,135.8667,66.15,80,100,6.26,AU,1650812270
386,la grande,45.3246,-118.0877,50.05,54,0,2.46,US,1650812271
387,pionerskiy,54.9508,20.2275,46.24,75,45,15.23,RU,1650812272
388,sharjah,25.3573,55.4033,88.09,51,0,14.97,AE,1650811974
389,goianesia,-15.3175,-49.1175,88.38,39,80,6.73,BR,1650812273
390,yeniseysk,58.4497,92.1703,29.03,90,100,4.32,RU,1650812274
391,susanville,40.4163,-120.653,35.44,75,0,0.0,US,1650812274
392,narok,-1.0783,35.8601,64.74,87,100,8.12,KE,1650812275
393,fevik,58.3794,8.6766,52.09,57,57,10.42,NO,1650812276
394,salalah,17.0151,54.0924,83.03,70,60,7.36,OM,1650812276
395,at-bashi,41.1702,75.8106,48.83,84,100,1.1,KG,1650812277
396,mutis,6.2262,-77.4044,81.68,75,21,2.91,CO,1650812277
397,luba,3.4568,8.5547,79.59,83,100,10.56,GQ,1650812278
398,conde,-7.2597,-34.9075,80.06,78,75,8.05,BR,1650812279
399,devarkonda,16.7,78.9333,96.22,24,89,6.31,IN,1650812279
400,iisalmi,63.5592,27.1907,45.52,54,70,2.8,FI,1650812175
401,mahbubabad,17.6167,80.0167,98.55,24,94,5.32,IN,1650812280
402,hamilton,39.1834,-84.5333,77.2,56,91,13.0,US,1650812281
403,floriano,-6.7669,-43.0225,86.04,61,57,6.11,BR,1650812283
404,te anau,-45.4167,167.7167,46.36,86,56,1.03,NZ,1650812285
405,gazanjyk,39.2446,55.5154,78.35,22,97,9.73,TM,1650812287
406,bela vista,-22.1089,-56.5211,89.64,46,0,12.06,BR,1650812287
407,hasaki,35.7333,140.8333,59.4,92,100,9.64,JP,1650812288
408,hostotipaquillo,21.0667,-104.0667,74.16,23,0,0.56,MX,1650812288
409,constitucion,-35.3333,-72.4167,58.89,89,93,21.07,CL,1650812289
410,usinsk,65.9939,57.5281,27.48,95,92,4.23,RU,1650812290
411,cabo san lucas,22.8909,-109.9124,75.61,86,0,5.32,MX,1650812290
412,pacific grove,36.6177,-121.9166,52.02,93,100,8.01,US,1650812291
413,eureka,40.8021,-124.1637,49.93,88,88,3.0,US,1650812291
414,tateyama,34.9833,139.8667,62.53,88,75,3.44,JP,1650812292
415,massena,44.9281,-74.8919,49.12,46,79,11.74,US,1650812292
416,lagunas,-5.2269,-75.6753,77.63,90,98,2.28,PE,1650812293
417,semey,50.4111,80.2275,37.8,42,69,8.1,KZ,1650812294
418,asau,46.4333,26.4,72.95,38,62,3.53,RO,1650812294
419,mana,5.6592,-53.7767,84.7,67,76,6.82,GF,1650812297
420,tecoanapa,16.5167,-98.75,83.59,59,1,2.68,MX,1650812299
421,worland,44.0169,-107.9554,41.61,72,100,13.0,US,1650812299
422,meiganga,6.5167,14.3,78.85,60,98,8.32,CM,1650812300
423,deputatskiy,69.3,139.9,0.18,99,100,1.5,RU,1650812005
424,warrnambool,-38.3833,142.4833,48.81,88,0,7.02,AU,1650812266
425,cieza,38.24,-1.4199,74.84,28,12,3.24,ES,1650812301
426,necochea,-38.5473,-58.7368,70.57,47,8,12.1,AR,1650812303
427,pangnirtung,66.1451,-65.7125,24.31,63,100,4.83,CA,1650812303
428,koslan,63.4564,48.8989,33.89,98,100,5.48,RU,1650812304
429,aimores,-19.4958,-41.0639,92.14,45,1,4.52,BR,1650812105
430,itarema,-2.9248,-39.9167,83.82,67,48,7.0,BR,1650812305
431,nortelandia,-14.4547,-56.8028,89.2,51,100,7.29,BR,1650812306
432,luis correia,-2.8792,-41.6669,87.8,66,40,3.44,BR,1650812306
433,chifeng,42.2683,118.9636,58.84,32,31,11.32,CN,1650812307
434,flinders,-34.5833,150.8552,61.88,89,99,4.0,AU,1650812308
435,haines junction,60.7522,-137.5108,30.15,86,100,0.0,CA,1650812308
436,cururupu,-1.8283,-44.8683,79.18,78,100,1.63,BR,1650812309
437,havelock,34.8791,-76.9013,76.98,71,4,10.0,US,1650812309
438,tanabe,33.7333,135.3667,63.57,95,100,2.46,JP,1650812310
439,poum,-20.2333,164.0167,76.86,75,14,12.1,NC,1650812311
440,uryupinsk,50.8047,42.0138,61.61,60,73,9.84,RU,1650812290
441,vilhena,-12.7406,-60.1458,80.82,74,75,12.66,BR,1650812312
442,teguise,29.0605,-13.564,64.62,68,20,8.05,ES,1650812136
443,quelimane,-17.8786,36.8883,80.55,83,40,11.5,MZ,1650812313
444,bambanglipuro,-7.95,110.2833,77.49,91,100,1.68,ID,1650812314
445,merauke,-8.4667,140.3333,79.79,84,90,4.21,ID,1650812314
446,puerto ayacucho,5.6639,-67.6236,89.82,54,54,2.62,VE,1650812315
447,lagoa,39.05,-27.9833,57.6,73,4,20.6,PT,1650812315
448,lata,40.1629,-8.3327,67.08,60,96,3.85,PT,1650812316
449,aljezur,37.3191,-8.8033,63.73,63,72,8.28,PT,1650812317
450,genhe,50.7833,121.5167,30.65,96,98,0.47,CN,1650812317
451,stornoway,58.2093,-6.3865,50.04,73,20,14.97,GB,1650812318
452,namibe,-15.1961,12.1522,75.83,64,20,16.11,AO,1650812319
453,granadilla de abona,28.1188,-16.576,66.16,61,75,4.61,ES,1650812167
454,miedzyrzecz,52.4446,15.578,59.07,53,100,14.47,PL,1650812181
455,laem sing,12.4816,102.0738,88.02,77,3,4.88,TH,1650812321
456,ozernovskiy,51.5,156.5167,32.29,94,100,13.94,RU,1650812321
457,cockburn town,21.4612,-71.1419,78.76,61,40,19.57,TC,1650812322
458,lavrentiya,65.5833,-171.0,13.37,92,94,6.2,RU,1650812324
459,rio gallegos,-51.6226,-69.2181,41.05,100,75,3.44,AR,1650812325
460,sorland,67.667,12.6934,43.14,92,100,11.39,NO,1650812326
461,kuching,1.55,110.3333,78.22,100,40,2.3,MY,1650812327
462,dauphin,51.1494,-100.0502,27.07,95,100,25.59,CA,1650812327
463,kidal,18.4411,1.4078,99.52,6,0,15.75,ML,1650812328
464,faro,37.0194,-7.9322,63.18,72,75,8.05,PT,1650812103
465,kutum,14.2,24.6667,94.35,6,6,4.47,SD,1650812329
466,hjelset,62.7833,7.4833,56.37,44,0,5.75,NO,1650812329
467,sao filipe,14.8961,-24.4956,75.99,69,4,4.36,CV,1650812330
468,ypsilanti,42.2412,-83.613,76.89,59,84,5.01,US,1650812331
469,iracoubo,5.4802,-53.2011,83.61,72,77,7.34,GF,1650812331
470,borisovka,50.6236,35.9903,57.34,81,100,3.83,RU,1650812332
471,muros,42.7762,-9.0603,63.16,83,100,9.13,ES,1650812332
472,kunyang,27.6658,120.5658,65.23,93,92,2.15,CN,1650812334
473,pontianak,-0.0333,109.3333,80.58,88,75,3.44,ID,1650812335
474,san pedro,14.35,121.0167,84.34,76,20,9.22,PH,1650812216
475,altay,47.8667,88.1167,32.88,55,92,9.26,CN,1650812337
476,muana,-1.5283,-49.2167,76.17,87,100,5.97,BR,1650812337
477,dunedin,-45.8742,170.5036,53.8,68,100,10.0,NZ,1650812338
478,mbandaka,0.0487,18.2603,87.03,53,96,5.44,CD,1650812340
479,kabo,7.6994,18.629,97.32,29,98,6.46,CF,1650812341
480,hakkari,37.5833,44.1667,53.53,55,100,3.36,TR,1650812341
481,liverpool,53.4106,-2.9779,63.79,43,40,19.57,GB,1650812342
482,toora-khem,52.4675,96.11,19.26,69,85,6.26,RU,1650812344
483,meulaboh,4.1363,96.1285,79.84,85,97,1.28,ID,1650812344
484,barabai,-2.5833,115.3833,77.52,89,88,1.45,ID,1650812345
485,oudtshoorn,-33.5907,22.2014,59.36,45,57,10.04,ZA,1650812346
486,hobyo,5.3505,48.5268,85.23,64,26,9.57,SO,1650812346
487,rawson,-43.3002,-65.1023,64.36,28,88,32.26,AR,1650812348
488,alekseyevka,50.6309,38.6903,59.65,68,72,9.33,RU,1650812349
489,trinidad,-14.8333,-64.9,85.98,70,75,11.5,BO,1650812197
490,keti bandar,24.1447,67.4497,82.87,70,0,18.41,PK,1650812350
491,antibes,43.5624,7.1278,65.62,83,40,8.05,FR,1650812132
492,dingle,10.9995,122.6711,77.14,89,93,6.98,PH,1650812351
493,otjimbingwe,-22.35,16.1333,80.91,27,1,14.74,NA,1650812351
494,homer,59.6425,-151.5483,38.05,94,95,3.04,US,1650812352
495,dinar,38.065,30.1656,82.36,22,0,1.48,TR,1650812353
496,hearst,49.6835,-83.6665,43.05,95,100,12.26,CA,1650812354
497,oneonta,42.4529,-75.0638,62.83,58,69,6.96,US,1650812355
498,maumere,-8.6199,122.2111,80.35,75,8,6.15,ID,1650812227
499,keetmanshoop,-26.5833,18.1333,68.92,24,20,11.5,NA,1650812356
500,buala,-8.145,159.5921,79.47,82,100,2.95,SB,1650812357
501,urumqi,43.801,87.6005,52.75,71,75,6.71,CN,1650812357
502,brownsville,25.9018,-97.4975,80.94,74,24,8.99,US,1650812358
503,san patricio,28.017,-97.5169,79.18,68,49,21.92,US,1650812359
504,ust-omchug,61.15,149.6333,12.96,97,100,4.07,RU,1650812359
505,rodrigues alves,-7.738,-72.6509,80.8,90,100,2.04,BR,1650812360
506,ust-koksa,50.2696,85.6108,27.01,65,2,2.39,RU,1650812360
507,chissamba,-12.1667,17.3333,80.78,54,69,1.86,AO,1650812361
508,nantucket,41.2835,-70.0995,47.01,71,100,15.37,US,1650812361
509,de aar,-30.6497,24.0123,63.55,24,1,16.15,ZA,1650812362
510,yantzaza,-3.8278,-78.7594,68.94,98,100,0.04,EC,1650812363
511,shache,38.4167,77.2406,75.65,14,87,4.21,CN,1650812364
512,cueto,20.6439,-75.9356,81.79,60,100,13.47,CU,1650812364
513,shieli,44.1667,66.75,55.38,52,53,13.87,KZ,1650812365
514,yelizovo,53.1873,158.3805,37.54,74,0,13.42,RU,1650812078
515,albury,-36.0833,146.9167,56.01,100,67,0.0,AU,1650812366
516,beroroha,-21.6667,45.1667,75.34,81,100,3.69,MG,1650812367
517,taldan,53.6667,124.8,26.87,54,25,4.09,RU,1650812367
518,fort nelson,58.8053,-122.7002,40.59,52,75,5.75,CA,1650812368
519,maceio,-9.6658,-35.7353,85.44,61,40,13.8,BR,1650812369
520,santa maria,-29.6842,-53.8069,65.5,77,0,6.91,BR,1650812156
521,santarem,-2.4431,-54.7083,80.73,89,40,10.36,BR,1650812370
522,salinopolis,-0.6136,-47.3561,74.84,91,100,4.52,BR,1650812370
523,stillwater,36.1156,-97.0584,58.21,58,100,1.01,US,1650812371
524,saint-joseph,-21.3667,55.6167,75.58,77,97,15.88,RE,1650812372
525,kailua,21.4022,-157.7394,74.64,81,59,5.99,US,1650812372
526,longyan,25.1072,117.0225,72.14,91,65,2.77,CN,1650812373
527,aden,12.7794,45.0367,83.88,78,14,16.55,YE,1650812373
528,katherine,-14.4667,132.2667,75.52,60,77,0.0,AU,1650812374
529,baghdad,33.3406,44.4009,75.11,43,100,12.66,IQ,1650812277
530,mnogovershinnyy,53.9353,139.9242,22.95,97,100,6.69,RU,1650812376
531,tarbert,55.8628,-5.4162,55.63,58,74,4.29,GB,1650812377
532,pingliang,35.5392,106.6861,56.93,50,1,5.37,CN,1650812377
533,banjarmasin,-3.3244,114.591,82.54,86,91,4.09,ID,1650812211
534,barbastro,42.0356,0.1269,68.18,42,42,13.51,ES,1650812169
535,plouzane,48.3833,-4.6167,59.05,77,100,10.36,FR,1650812379
536,davila,18.4726,120.5763,82.42,75,6,4.18,PH,1650812380
537,manjeshwar,12.7194,74.8861,86.95,79,100,6.6,IN,1650812380
538,atar,20.5169,-13.0499,94.28,16,0,13.35,MR,1650812381
539,khandyga,62.6667,135.6,14.34,98,53,1.59,RU,1650812382
540,mbalmayo,3.5167,11.5,73.92,92,100,5.61,CM,1650812383
541,nshamba,-1.7983,31.5511,61.72,94,100,4.52,TZ,1650812384
542,aklavik,68.2191,-135.0107,17.6,93,0,5.75,CA,1650812386
543,anadyr,64.75,177.4833,18.1,86,0,6.71,RU,1650812386
544,daru,-9.0763,143.2092,79.21,86,100,6.24,PG,1650812387
545,ourem,39.6417,-8.5919,68.92,62,92,4.9,PT,1650812387
546,ligayan,4.6533,119.4706,84.06,76,66,9.1,PH,1650812388
